"","As","Cd","Hg","Se","1-Methylnaphthalene","2-Methylphenanthrene","C1 Dibenzothiophene","C1 Fluorene","C2 Dibenzothiophene","C2 Fluorene","C3 Dibenzothiophene"
"1","MT4","MT4","MT4","MT4","MT4","MT4","MT4","MT4","MT4","MT4","MT4"
"2","TTR","TTR","TTR","TTR","TTR","TTR","TTR","TTR","TTR","TTR","TTR"
"3","THRSP","THRSP","THRSP","THRSP","THRSP","THRSP","THRSP","THRSP","THRSP","THRSP","THRSP"
"4","LBFABP","LBFABP","LBFABP","LBFABP","LBFABP","LBFABP","LBFABP","LBFABP","LBFABP","LBFABP","LBFABP"
"5","CDKN1A","CDKN1A","CDKN1A","CDKN1A","CDKN1A","CDKN1A","CDKN1A","CDKN1A","CDKN1A","CDKN1A","CDKN1A"
"6","LSS","LSS","LSS","LSS","LSS","LSS","LSS","LSS","LSS","LSS","LSS"
"7","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1"
"8","MDM2","MDM2","MDM2","MDM2","MDM2","MDM2","MDM2","MDM2","MDM2","MDM2","MDM2"
"9","APOB","APOB","APOB","APOB","APOB","APOB","APOB","APOB","APOB","APOB","APOB"
"10","IGFBP1","IGFBP1","IGFBP1","IGFBP1","IGFBP1","IGFBP1","IGFBP1","IGFBP1","IGFBP1","IGFBP1","IGFBP1"
