"","As","Phenanthrene","C3 Naphthalene","C3 Phenanthrene","C4 Naphthalene","C1 Dibenzothiophene","C2 Dibenzothiophene"
"1","LSS","LSS","LSS","LSS","LSS","LSS","LSS"
"2","IGF1","IGF1","IGF1","IGF1","IGF1","IGF1","IGF1"
"3","MGMT","MGMT","MGMT","MGMT","MGMT","MGMT","MGMT"
"4","EEF1A1","EEF1A1","EEF1A1","EEF1A1","EEF1A1","EEF1A1","EEF1A1"
"5","PAH","PAH","PAH","PAH","PAH","PAH","PAH"
"6","CYP1A5","CYP1A5","CYP1A5","CYP1A5","CYP1A5","CYP1A5","CYP1A5"
"7","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1","ALDH1A1"
"8","POLK","POLK","POLK","POLK","POLK","POLK","POLK"
"9","ALAS1","ALAS1","ALAS1","ALAS1","ALAS1","ALAS1","ALAS1"
"10","APOB","APOB","APOB","APOB","APOB","APOB","APOB"
