Gene,BLGU-1,BLGU-2,BLGU-3,BLGU-4,BLGU-5,BLGU-6,BLGU-7,BLGU-8,BLGU-9,BLGU-10,BLGU-11,BLGU-12,BLGU-13,BLGU-14,BLGU-15,BLGU-16,BLGU-17,BLGU-18,BLGU-19,BLGU-20,BLGU-21,BLGU-22,BLGU-23,BLGU-24,BLGU-25,BLGU-26,BLGU-27,BLGU-28,BLGU-29,BLGU-30
RGN,23.23,25.08,25.03,22.92,23.95,25.59,23.78,21.36,24.81,23.22,23.73,24.44,23.84,23.19,25.49,27.66,25.76,27.86,24.11,22.75,26.66,26.62,24.17,25.36,24.58,23.83,22.23,24,24.85,25.21
IGFBP1,24.06,27.02,26.67,26.03,25.55,26.99,26.14,24.15,25.14,25.24,26.06,25.43,27.01,26.77,26.65,28.53,27.61,28.65,27.14,25.91,28.32,27.82,27,26.85,26.62,27.06,25.23,26.38,24.7,27.86
CYP1A5,22.51,24.08,24.19,22.64,24.41,23.15,22.75,21.94,22.89,22.91,22.23,22.68,21.97,22.67,23.12,25.73,23.79,25.25,24.48,24.13,24.72,25,23.29,23.67,23.93,22.74,22.35,22.8,23.35,23.94
ALAS1,25.29,28.28,26.43,25.5,26.5,26.93,26.1,24.41,25.45,28.73,25.57,25.27,25.14,24.98,26.7,28.72,27.38,28.43,26.78,26.37,27.79,28.1,26.47,26.37,26.88,27.46,24.44,25.91,27.63,28.48
IL16,27.91,31.02,30.29,29.42,29.03,26.58,31.43,27.84,27.63,28.82,30.14,27.4,29.4,27.62,28.92,30.65,30.01,29.84,30.92,30.41,29.78,29.79,29.04,30.19,29.42,29.24,28.76,29.24,27.03,28.1
LBFABP,15.39,16.57,16.47,15.59,15.69,17.03,16.53,15.98,16.29,16.01,17.22,15.96,16.75,17.2,17.26,18.26,16.58,18.25,15.95,16.18,16.43,16.51,15.77,15.75,16.22,15.71,15.19,16.07,15.88,16.52
ACSL5,21.91,27.05,25.01,22.85,22.72,23.22,22.86,21.22,23.26,23.38,24.48,22.68,23.02,23.17,24.06,25.72,24.62,24.75,27.36,26.82,24.28,22.89,25.35,22.99,22.49,23.12,21.86,27.44,24.91,28.19
CYP3A7,21.39,25.24,23.98,22.92,23.88,23.89,23.22,23.25,21.45,22.29,25.61,21.9,23.33,23.68,22.92,25.88,24.8,26.3,24.66,23.94,24.58,24.2,23.03,24.27,24.99,23.99,20.87,23.72,25.38,25.19
TTR,16.45,19.62,19.01,16.99,17.63,19.26,18.06,17.3,18.24,18.23,21.93,18.19,17.67,18.3,18.75,20.52,18.89,19.61,18.57,18.35,19.27,18.15,17.4,17.24,18.2,17.38,16.09,16.98,17.72,19.5
THRSP,19.2,22.46,21.26,21.69,20.23,20.07,19.3,19.67,19.41,21.68,21.98,19.95,20.07,19.83,20.51,20.4,21.04,21.41,19.95,20.29,20.31,19.76,19.77,19.14,19.42,20.83,19.55,19.4,21.27,22.19
