Gene,BLGU-1,BLGU-2,BLGU-3,BLGU-4,BLGU-5,BLGU-6,BLGU-7,BLGU-8,BLGU-9,BLGU-10,BLGU-11,BLGU-12,BLGU-13,BLGU-14,BLGU-15,BLGU-16,BLGU-17,BLGU-18,BLGU-19,BLGU-20,BLGU-21,BLGU-22,BLGU-23,BLGU-24,BLGU-25,BLGU-26,BLGU-27,BLGU-28,BLGU-29,BLGU-30
RGN,25.99,27.53,27.82,25.63,26.69,26.99,25.4,22.79,27.19,25.72,26.2,27.11,27.15,26.21,28.23,30.32,28.66,30.55,26.83,25.46,28.16,28.15,25.73,26.25,25.47,24.75,23.17,23.17,24.07,28
IGFBP1,26.8,29.56,29.35,28.72,28.27,28.44,27.58,25.75,27.22,27.5,28.22,28,29.69,29.81,29.28,31.09,30.31,31.31,29.8,28.65,29.98,29.3,28.56,27.77,27.52,28,26.18,25.55,23.72,30.5
CYP1A5,25.26,26.13,26.92,25.47,27.23,25.18,24.82,23.56,26.06,26.31,25.37,26.65,26.28,26.67,26.81,27.83,27.5,28.06,27.23,27.28,26.25,26.25,25.09,24.38,24.62,23.55,23.38,21.32,20.75,26.72
ALAS1,28.04,30.78,29.25,28.38,29.32,28.69,27.79,26.07,28.27,0,27.89,28.04,28.73,28.27,29.36,31.53,30.35,31.27,29.37,29.15,29.33,29.59,27.95,27.23,27.72,28.33,25.43,25.1,26.94,31.35
IL16,30.59,33.61,33.07,32.21,31.71,28.12,32.71,29.54,30.14,30.98,32.42,30.54,32.14,30.57,31.44,33.18,32.61,32.59,33.39,33.14,31.32,31.3,30.57,31.05,30.26,30.1,29.7,28.57,26.28,30.9
LBFABP,17.86,19.14,19.12,18.32,18.38,18.34,17.94,17.37,18.51,18.07,19.33,18.88,19.68,19.76,19.99,20.92,19.16,20.89,18.46,18.7,17.99,18.16,17.26,16.58,17.12,16.65,15.99,15.33,15.06,19.2
ACSL5,24.74,29.79,27.82,25.68,25.49,24.94,24.28,22.67,25.83,25.87,27.1,25.83,26.38,26.52,27.08,28.74,27.88,27.76,29.99,29.45,26,24.66,27.01,23.96,23.49,24.05,22.78,26.7,24,31.17
CYP3A7,24.22,27.59,26.8,25.69,26.67,25.3,24.76,24.79,23.92,24.8,28.13,25.02,26.62,27.06,26.13,28.88,27.93,29.12,27.53,27.18,26.07,25.84,24.56,25.07,25.85,24.97,21.81,22.63,24.74,27.97
TTR,19.1,22.27,21.74,19.66,20.41,20.56,19.3,18.65,20.53,20.23,24.31,21.16,20.34,20.92,21.52,23.22,21.77,22.54,21.45,21.01,20.82,19.87,19.06,18.2,19.14,18.41,16.99,16,16.84,22.27
THRSP,22.03,24.52,24.19,24.45,23.16,21.58,20.67,21.03,21.78,23.72,24.95,22.74,22.83,22.67,23.73,23.62,24.47,24.71,23.51,23.08,22.21,21.8,21.2,20.24,20.24,21.7,20.54,18.01,20.51,24.99
