Gene,TBMU.1,TBMU.2,TBMU.3,TBMU.4,TBMU.5,TBMU.6,TBMU.7,TBMU.8,TBMU.9,TBMU.10,TBMU.11,TBMU.12,TBMU.13,TBMU.14,TBMU.15,TBMU.16,TBMU.17,TBMU.18,TBMU.19,TBMU.20,TBMU.21,TBMU.22,TBMU.23,TBMU.24,TBMU.25,TBMU.26,TBMU.27,TBMU.28,TBMU.29,TBMU.30
RGN,27.24,28.22,24.22,26.38,22.30,27.69,25.36,24.83,26.47,24.42,24.18,26.69,23.63,25.07,25.71,25.83,26.95,23.67,23.28,24.43,23.84,27.29,25.33,26.36,23.93,24.33,23.14,26.09,26.41,26.88
IGFBP1,20.87,18.09,17.09,17.80,15.98,20.86,18.12,17.74,19.04,18.31,17.06,19.20,16.47,16.97,17.95,19.85,18.10,16.27,15.50,17.63,15.91,17.93,18.90,18.78,16.95,17.21,16.40,17.26,17.84,17.88
CYP1A5,23.47,20.28,20.34,22.17,20.38,22.99,20.59,20.46,21.31,20.17,21.61,22.01,20.14,20.35,21.07,22.29,20.46,18.94,18.40,18.98,18.30,20.59,20.95,21.13,19.70,19.46,19.43,20.85,20.48,19.83
ALAS1,32.03,31.70,30.04,30.04,29.60,32.73,29.81,31.44,31.59,32.38,31.96,32.30,31.15,31.50,32.07,35.14,29.40,29.51,29.49,29.43,29.55,30.57,31.21,29.86,28.99,29.95,29.59,30.95,31.48,31.5
IL16,27.85,23.91,24.17,26.17,20.63,27.21,23.84,24.64,25.44,23.08,21.99,25.95,23.15,24.58,24.75,25.87,24.92,23.91,24.50,24.11,25.27,25.95,23.79,25.45,22.80,24.42,22.88,25.05,23.4,23.69
LBFABP,23.88,19.98,20.90,19.49,18.87,21.32,20.47,22.84,21.44,21.15,19.83,23.20,20.44,20.74,21.75,19.94,20.80,17.05,18.08,17.48,18.18,21.13,19.92,21.43,20.77,20.92,19.80,21.84,21.81,23.17
ACSL5,25.85,22.64,21.76,22.28,22.96,24.85,22.79,23.21,23.99,21.99,22.14,24.59,22.28,22.87,23.18,23.95,23.00,21.82,20.82,22.61,22.81,23.44,23.70,23.74,23.61,24.00,22.35,24.65,24.15,25.55
CYP3A7,33.24,34.84,30.62,30.45,26.90,34.05,29.06,29.32,32.57,27.09,29.91,30.97,26.28,25.90,28.43,30.28,31.27,27.66,26.40,27.91,28.85,29.11,30.74,30.41,26.84,27.14,27.82,30.37,31.18,36.32
TTR,27.12,25.33,23.21,24.79,22.53,27.12,25.92,24.36,26.36,25.47,24.67,27.08,23.16,25.36,26.43,26.02,25.73,24.50,23.30,25.04,25.29,25.16,25.17,25.18,23.24,24.77,22.39,25.22,24.65,25.6
THRSP,28.14,26.74,25.86,27.24,25.81,26.54,27.62,25.91,25.11,25.85,26.56,25.73,24.88,26.13,26.90,29.05,27.05,22.93,23.27,23.96,24.95,25.50,26.57,26.19,25.69,25.10,25.90,28.07,26.04,25.11
IGF1,28.94,25.72,25.64,25.18,24.97,27.98,25.29,25.74,25.88,25.84,24.93,28.24,26.03,26.59,29.12,25.56,25.80,24.68,23.99,25.25,23.08,25.86,25.75,25.59,25.62,25.83,24.85,26.89,25.64,26.87
UGT1A9,31.08,27.62,28.36,28.53,26.06,28.95,24.95,27.52,29.20,27.33,27.92,29.15,28.24,30.05,28.25,26.96,28.60,28.94,28.95,28.02,28.33,30.33,27.83,28.59,28.87,29.67,28.90,31.8,29.88,31.2
SULT1E1,33.00,31.43,28.39,29.05,25.84,31.93,28.93,27.71,31.08,27.98,27.24,30.73,26.87,26.78,29.06,28.48,29.75,26.09,25.44,26.79,26.08,29.12,28.68,29.36,26.87,27.79,26.31,29.15,29.97,31.84
CDKN1A,26.28,25.98,23.92,24.90,22.49,26.85,23.72,23.54,25.36,23.24,24.12,25.26,25.18,23.92,25.22,24.05,24.26,22.30,21.94,23.52,23.72,23.87,23.85,24.38,23.31,24.04,23.63,24.6,24.65,25.86
