Gene,TBMU.1,TBMU.2,TBMU.3,TBMU.4,TBMU.5,TBMU.6,TBMU.7,TBMU.8,TBMU.9,TBMU.10,TBMU.11,TBMU.12,TBMU.13,TBMU.14,TBMU.15,TBMU.16,TBMU.17,TBMU.18,TBMU.19,TBMU.20,TBMU.21,TBMU.22,TBMU.23,TBMU.24,TBMU.25,TBMU.26,TBMU.27,TBMU.28,TBMU.29,TBMU.30
RGN,30.50,31.38,27.28,29.52,25.33,30.72,28.45,27.87,29.57,27.61,27.42,29.83,26.85,28.20,28.76,28.93,29.94,26.78,25.57,26.66,26.07,30.37,28.45,29.54,27.06,27.56,26.30,29.25,29.53,29.96
IGFBP1,23.73,21.01,19.99,20.57,18.65,23.77,21.00,20.55,21.96,21.22,20.00,22.16,19.39,19.77,20.83,22.70,20.91,19.12,17.58,19.74,18.04,20.78,21.74,21.64,19.83,20.14,19.32,20.13,20.61,20.74
CYP1A5,26.66,23.38,23.39,25.24,23.55,25.96,23.75,23.59,24.41,23.20,24.63,25.06,23.21,23.45,24.11,25.33,23.48,21.96,20.60,21.16,20.51,23.77,23.96,24.16,22.81,22.56,22.47,23.82,23.54,22.79
ALAS1,35.02,34.67,33.00,33.01,32.54,35.74,32.76,34.31,34.53,35.39,35.04,35.22,34.14,34.44,35.09,38.21,32.24,32.45,31.65,31.58,31.68,33.52,34.21,32.91,31.94,32.91,32.54,33.95,34.35,34.43
IL16,30.82,26.86,27.12,29.16,23.46,30.14,26.72,27.54,28.27,26.04,24.94,28.91,26.08,27.48,27.63,28.77,27.83,26.77,26.61,26.31,27.41,28.84,26.64,28.31,25.67,27.29,25.77,28.07,26.24,26.53
LBFABP,26.98,23.22,23.96,22.73,21.99,24.51,23.68,26.02,24.60,24.38,23.01,26.53,23.69,23.93,24.88,23.08,23.96,20.14,20.35,19.81,20.45,24.33,23.04,24.68,23.94,24.18,22.92,25.13,25.05,26.62
ACSL5,28.98,25.72,24.81,25.40,26.06,27.87,25.82,26.34,27.23,25.08,25.25,27.63,25.51,26.01,26.36,27.08,26.05,24.83,23.07,24.81,25.11,26.44,26.75,26.88,26.93,27.26,25.55,27.83,27.44,28.71
CYP3A7,36.35,38.11,33.65,33.64,29.98,37.13,32.17,32.49,35.68,30.26,33.02,34.11,29.47,29.01,31.61,33.42,34.44,30.73,28.76,30.18,31.14,32.33,33.83,33.56,29.94,30.29,30.96,33.57,34.32,39.97
TTR,30.08,28.45,26.37,27.84,25.61,30.19,28.94,27.41,29.45,28.56,27.60,30.26,26.29,28.44,29.44,29.11,28.69,27.53,25.53,27.34,27.50,28.24,28.22,28.25,26.26,27.74,25.51,28.3,27.59,28.6
THRSP,31.09,29.73,28.79,30.28,28.75,29.44,30.49,28.83,28.03,28.74,29.51,28.68,27.84,29.12,29.92,32.06,30.08,25.86,25.48,26.18,27.12,28.29,29.46,29.18,28.68,28.21,28.92,31.07,29.09,28.08
IGF1,31.93,28.70,28.84,28.22,27.94,30.87,28.25,28.66,28.84,28.80,27.90,31.29,29.05,29.55,32.20,28.46,28.73,27.62,26.16,27.42,25.29,28.83,28.71,28.45,28.68,28.87,27.92,30.02,28.71,29.95
UGT1A9,34.43,30.99,31.71,31.82,29.46,32.29,28.28,30.85,32.54,30.71,31.25,32.57,31.60,33.49,31.63,30.15,31.90,32.37,31.38,30.48,30.84,33.68,31.02,31.94,32.41,33.07,32.34,35.34,33.31,34.71
SULT1E1,36.05,34.60,31.38,32.02,28.82,34.92,31.97,30.72,34.10,31.11,30.39,33.73,29.95,29.82,32.10,31.51,32.75,29.03,27.71,29.09,28.34,32.21,31.70,32.38,29.91,30.78,29.36,32.22,33,34.87
CDKN1A,29.41,29.14,26.92,27.99,25.70,29.90,26.88,26.72,28.60,26.40,27.33,28.46,28.54,27.27,28.48,27.12,27.46,25.43,24.31,25.93,25.99,26.94,26.94,27.52,26.50,27.14,27.00,27.77,27.8,29.01
POLK,30.03,27.14,27.35,28.16,24.72,29.50,27.29,26.47,28.79,26.84,25.96,28.49,26.36,26.44,27.78,28.38,26.40,25.91,24.31,24.96,25.36,26.80,26.81,27.12,25.90,26.66,25.16,27.12,27.53,28.36
APOB,28.42,25.66,25.55,26.03,24.56,27.51,24.64,25.39,26.07,24.89,24.38,26.27,24.83,24.32,26.20,25.30,24.68,22.81,23.00,21.17,22.84,25.28,24.56,25.20,24.66,25.18,23.58,24.68,24.7,25.24
GPX3,36.45,37.50,35.90,34.39,33.19,36.55,34.45,35.22,35.67,35.30,34.59,35.20,35.44,35.15,36.81,35.03,34.60,34.53,32.78,33.86,0.00,37.96,35.79,34.15,33.74,33.52,32.91,35.46,36.35,35.87
GSTM3,34.78,34.39,26.68,29.42,27.87,33.56,31.40,31.60,32.32,26.03,27.57,33.23,33.60,27.32,31.43,29.07,31.53,30.42,24.95,33.41,30.42,28.77,28.31,28.05,26.49,29.64,26.07,27.84,28.93,29.54
LSS,31.18,27.41,28.37,27.35,26.23,29.99,26.03,26.77,27.96,26.68,25.87,28.18,27.52,26.53,29.58,28.41,26.32,26.70,25.78,25.32,25.73,27.21,26.54,26.98,26.06,26.47,25.47,27.61,26.71,27.4
MGMT,30.09,28.44,28.41,27.96,26.04,29.83,27.52,27.69,28.83,27.79,27.18,28.60,27.59,28.32,28.87,28.16,26.94,26.46,25.40,25.73,25.35,27.58,27.40,27.58,27.04,28.01,26.84,27.61,29.2,28.69
FOX1A,20.48,20.12,18.45,20.19,17.14,20.04,19.53,18.77,20.23,19.33,18.90,19.64,18.82,18.58,18.85,20.13,20.08,18.57,17.49,17.65,17.61,19.60,19.59,19.98,18.88,19.68,18.49,19.49,19.56,20.39
PDK4,28.72,26.59,26.02,27.04,25.11,28.71,26.59,25.56,27.07,25.56,25.45,27.36,25.72,25.16,27.90,27.23,25.16,23.55,22.40,23.85,24.35,25.50,26.06,25.81,24.60,24.94,23.80,25.04,26.11,26.07
PAH,30.19,27.73,27.35,28.45,24.50,31.26,26.67,25.99,28.60,26.57,25.86,29.15,27.83,28.42,28.55,28.42,27.78,27.64,27.21,26.67,26.10,27.95,25.80,27.29,25.22,25.64,25.98,27.65,26.87,27.52
FRZB,27.43,25.31,24.01,24.90,21.96,26.22,23.76,23.27,24.91,23.42,22.89,25.51,22.87,22.83,24.25,24.39,23.43,21.46,20.94,21.10,21.68,23.54,23.07,23.43,21.93,22.40,22.64,23.55,23.66,25.04
SLCO1A2,29.10,28.53,26.20,27.73,24.08,29.33,26.82,24.84,28.62,26.31,25.99,26.75,24.93,24.14,26.64,25.36,24.53,24.25,21.51,21.97,23.62,24.54,26.29,26.90,24.78,25.73,22.97,24.42,25.83,28.59
