Chemical,BLGU-1,BLGU-2,BLGU-3,BLGU-4,BLGU-5,BLGU-6,BLGU-7,BLGU-8,BLGU-10,BLGU-11,BLGU-12,BLGU-13,BLGU-14,BLGU-15,BLGU-16,BLGU-17,BLGU-18,BLGU-19,BLGU-20,BLGU-21,BLGU-22,BLGU-24,BLGU-25,BLGU-26,BLGU-27,BLGU-28,BLGU-29,BLGU-30
As,5850,2290,5420,5690,6775,8340,7050,5330,3250,5910,2700,5710,2230,4960,3870,2270,3880,4380,5800,3240,2550,3120,3360,3410,5060,8950,2170,5270
Cd,13000,4910,14000,5700,6155,29600,9630,20800,23100,11500,6230,12400,6250,7320,1590,3530,4890,6400,13200,7180,6360,4950,14100,12200,7980,7240,15800,13500
Pb,14,11,10,10,16.5,22,10,15,17,16,19,19,9,13,15,6040,11,9,7,33,6,7,141,11,23,13,99,26
Hg,3350,2090,4030,1910,4380,4550,2770,3460,3600,3030,2800,2270,2290,2570,2470,2270,3520,6520,3400,2690,2570,2310,2290,5100,3450,3780,4330,3730
Se,16400,9660,7750,5430,10550,13000,10400,11600,18700,12600,8250,9960,7150,10300,6920,6240,11100,11100,7380,8630,6530,6410,5650,9425,11700,16000,13200,11000
Acenapthene,0.878838163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenapthylene,30.69941026,0,0,0,0,0,0,0,0,0,1.746845473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthracene,35.43074486,2.967053055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.885190786,0,0
Benz[a]anthracene,72.3806589,4.442109744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797461968,0,0,0,0,0,0,0
Benzo[a]pyrene,47.19223273,2.610863168,0.559938117,0,0,0,0,0,0,0,0,0,0,0.688861755,0,0,0,0,0,0,1.120284939,0,0,0,0,0,0,0
Benzo[b]fluoranthene,150.4116603,5.679122078,0.802049602,0,0,0.819813025,0,0,0,0,0,0,0,0,0,0,0,0.305227814,0,0,1.906375554,0.348470422,0,0,0.646942713,0,0,0
"Benzo[g,h,i]perylene",56.25626865,3.099057625,1.225475344,0,0.328966533,0.786594542,0,0,0,0,0.439655269,0,0,0.460800694,0,0,0,0,0,0,1.430734641,0,0,0,0,0,0,0
Benzo[k]fluoranthene,46.80073434,2.345359044,0.573012443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865119664,0,0,0,0,0,0,0
Chrysene,309.7881002,6.908240023,0,0,4.691619863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.702177234,0,0,0,1.205028695,0,0,0
"Dibenzo[a,h]anthracene",8.060510333,0,0.537215578,0,0,0,0,0,0,0,0,0,0,0.534559826,0,0,0,0,0,0,1.236377184,0,0,0,0,0,0,0
Fluoranthene,784.0657219,12.45305727,0.732786577,0.612095592,0,3.037093234,0,0,0,0,0,0,0,0,0,0,0,0.620425106,0,0,3.811715415,1.056414444,0,0,2.443389547,0,0,0
Fluorene,4.707143618,0,0,0,0,0,0,0,0,0,1.13415262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indeno[1,2,3-c,d]pyrene",34.49226339,2.943077919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naphthalene,21.54939534,3.264578105,0,0,0,11.33200876,0,0,0,0,126.7776784,35.60253287,26.56860905,0,184.7010091,91.65447768,18.99316587,0,18.82365796,0,0,0,0,0,0,3.41576982,0,0
Phenanthrene,238.3077626,11.91751855,0,0.874212959,0,2.208579777,0,0,0,0,4.033477615,0,0,0,3.01491496,0,0,0,0,0,2.330249177,0,0,0,1.092651567,0,0,0
Pyrene,454.247107,11.69936165,0.708084167,0.518844688,0,2.007158724,0,0,0,0,0.744365216,0.753044426,0,0,0,0,0,0,0,0,3.417133356,0.67528964,0,0,2.572677985,1.190516336,0,0
"1,7-Dimethylphenanthrene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367545579,0,0,0,0.656165335,0,0.828800339,0
"1,8-Dimethylphenanthrene",4.207965977,1.782257229,1.443765167,1.192567384,11.33849252,4.348035769,1.930738024,3.147032884,5.288155424,18.41422884,3.096306738,1.319983678,6.963807346,4.155196686,4.960820003,5.143716044,5.453997705,0,0,0,0,0,0,0,0,0,0.32967026,0
1-Methylnaphthalene,3.727146033,3.220721232,1.143764675,0.862606387,11.1847943,3.479953864,1.791373859,1.838240138,3.199017736,8.455843676,2.563857416,1.33387359,1.656036077,1.219029008,2.458022942,1.623828295,1.908708273,1.678020128,1.17766455,0,1.025070688,1.967407275,2.363704413,2.216543991,3.382075321,1.571098525,3.939079069,3.075869495
1-Methylphenanthrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481861773,0,0,0,0.637478742,0.711677407,0.538341837,0.4906231
"2,6-Dimethylphenanthrene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484092411,0,0,0
2-Methylnaphthalene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.437540207,2.212276936,1.071601386,1.741629184,3.988859458,4.627380717,4.468368524,7.187487864,3.17789409,7.923800981,7.156534069
2-Methylphenanthrene,3.259808114,1.457860173,0.921444024,1.05177599,4.073505274,3.022467734,1.488169437,1.421640256,2.450915299,9.101051767,2.006068882,1.0022119,3.332795556,1.907949956,3.485251208,2.431189758,2.535233245,0.470618009,0,0,0.681397916,0.348800268,0,0,1.20471648,0,0.719253247,0.401575088
"3,6-Dimethylphenanthrene",1.571718875,1.996726273,0.613608766,0.500301036,3.71016033,1.557703798,1.06000353,1.073827198,2.262887565,5.421232801,1.562622629,0.794324033,1.550782284,0.911097187,1.529243773,0.947641433,0.990943098,0,0,0,0,0,0,0,0.685899253,0,0,0
3-Methylphenanthrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553247376,0,0,0,1.076299635,0,0.364933697,0
9/4-Methylphenanthrene,0.499003465,2.696718972,0.501276045,0,1.269555692,0.590702065,0.39583827,0,0.49151154,1.346886836,0.410590521,0,0,0.332125993,2.342759914,0.668130982,0.480955788,0,0,0,0.423328856,0,0,0,0.901848914,0.299217015,0.672649973,0.428488486
