Chemical,TBMU-1,TBMU-2,TBMU-3,TBMU-4,TBMU-5,TBMU-6,TBMU-7,TBMU-8,TBMU-9,TBMU-10,TBMU-11,TBMU-12,TBMU-13,TBMU-14,TBMU-15,TBMU-16,TBMU-17,TBMU-18,TBMU-19,TBMU-20,TBMU-21,TBMU-22,TBMU-23,TBMU-24,TBMU-25,TBMU-26,TBMU-27,TBMU-29,TBMU-30
As,5030,4400,16800,4930,8190,12150,4720,7060,11400,13400,6810,8610,9070,8000,5290,3980,7270,7380,3640,11300,4855,6880,9660,2850,4620,6240,5460,5510,10300
Cd,29800,2060,32600,2280,32900,37700,41600,51200,52500,46600,36400,26000,54400,30700,42900,18100,36500,27700,19600,33000,27150,25200,56500,54900,39300,21100,36600,31200,26700
Pb,5,19,8,20,5,6,12,8,15,7,78,6,7,7,38,10,15,12,15,9,22.5,151,15,9,8,8,6,12,10
Hg,2740,3830,5800,4670,5560,4675,5300,4090,5290,4600,7200,5300,4570,4520,5330,5150,3270,7100,2870,4920,3760,4030,4960,6700,4320,4300,4750,5130,4370
Se,6610,1030,8040,1190,9560,9520,10000,7110,8770,8500,14900,9990,6250,10400,8290,6590,8640,12100,8810,10400,8590,7080,17500,12100,11900,12900,8700,6570,5660
Acenapthene,0.082829409,0.265490832,0.40737214,0,0.240133764,0.272661298,1.795336038,1.479224872,3.822393611,1.206124413,1.152215167,1.497152268,0.013312879,0,0.29672909,0.902215012,1.128974607,0,0.273420977,0.064185295,0.15971266,0,0.14986344,0.130091407,2.220370587,0.807434182,0,0.545764525,0.455055367
Acenapthylene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273812658,0,0,0,0,0,0,0.535527411,0.541308481,0,0,0
Anthracene,0,0,0,0.298998271,0.023466724,0,0.671587381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397022818,0.683040455,1.041655375,0.19503624,0,0.31489767,0.359261366
Benz[a]anthracene,0,0.587048852,0,0,0,0,0,0,0,0,0,0,0.755650362,0,0,0,0,0.561777246,0,0,0,0,0,0,0,0,0,0,0
Benzo[a]pyrene,0,0.160995605,0,0,0,0,0,0,0,0,0,0,0.91081807,0,0,0,0,0.957386184,0.122822179,0,0,0,0.090897154,0,0,0,0,0,0
